No.,Brand,Product,Category,Standard Size,Volume (L),Weight (kg),Est. Price (PHP),Availability
153,Davies,Roofshield DV-50-16 Cathay Red GAL,Exterior / waterproofing,4 L / gal,4,,900,Active
154,Davies,Roofshield DV-50-16 Cathay Red TIN,Exterior / waterproofing,16 L / tin,16,,3330,Active
155,Davies,Roofshield DV-50-20 Azure Blue GAL,Exterior / waterproofing,4 L / gal,4,,900,Active
156,Davies,Roofshield DV-50-20 Azure Blue TIN,Exterior / waterproofing,16 L / tin,16,,3330,Active
157,Davies,Roofshield DV-50-33 Baguio Green GAL,Exterior / waterproofing,4 L / gal,4,,900,Active
158,Davies,Roofshield DV-50-33 Baguio Green TIN,Exterior / waterproofing,16 L / tin,16,,3330,Active
159,Davies,Roofshield DV-50-90 Sahara Beige,Exterior / waterproofing,piece / assorted,,,250,Active
160,Davies,Roofshield DV-50-91 Russet Brown GAL,Exterior / waterproofing,4 L / gal,4,,900,Active
161,Davies,Roofshield DV-50-91 Russet Brown TIN,Exterior / waterproofing,16 L / tin,16,,3330,Active
162,Davies,SK-1 Mondo Skimcoat 20KG,Putty / filler / sealer,20 kg,,20,520,Active
163,Davies,SK-1 Mondo Skimcoat Kilo RT,Putty / filler / sealer,1 kg,,1,80,Active
164,Davies,SR-008 Sun & Rain Alabaster TIN,Exterior / waterproofing,16 L / tin,16,,3140,Active
165,Davies,SR-020 Apricot White GAL,Paint / assorted,4 L / gal,4,,800,Active
166,Davies,SR-306 Clear Promise GAL,Paint / assorted,4 L / gal,4,,800,Active
167,Davies,SR-329 Cool Mint GAL,Paint / assorted,4 L / gal,4,,800,Active
168,Davies,SR-413 Cheeze Yellow,Paint / assorted,piece / assorted,,,250,Active
169,Davies,SR-414 Double Mustard GAL,Paint / assorted,4 L / gal,4,,800,Active
170,Davies,SR-472 Sunny Day GAL,Paint / assorted,4 L / gal,4,,800,Active
171,Davies,SR-481 Yellow Breeze GAL,Paint / assorted,4 L / gal,4,,800,Active
172,Davies,SR-608 Seal Gray GAL,Paint / assorted,4 L / gal,4,,800,Active
173,Davies,SR-608 Seal Gray TIN,Paint / assorted,16 L / tin,16,,2800,Active
174,Davies,Sun & Rain SR-101 Terra Cotta GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
175,Davies,Sun & Rain SR-111 Cathay Red GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
176,Davies,Sun & Rain SR-212 Blue Jeans GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
177,Davies,Sun & Rain SR-220 Azure Blue GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
178,Davies,Sun & Rain SR-307 My Chartreuse GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
179,Davies,Sun & Rain SR-333 Baguio Green GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
180,Davies,Sun & Rain SR-601 Smoke Gray GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
181,Davies,Sun & Rain SR-660 Black GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
182,Davies,Sun & Rain SR-911 Burger Brown GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
183,Davies,Sun & Rain SR-933 Choco Brown GAL,Exterior / waterproofing,4 L / gal,4,,850,Active
184,DGM,DGM Paint Brush 1 in Inactive,Inactive item,piece / assorted,,,,Inactive
185,DGM,DGM Paint Brush 1.5 in Inactive,Inactive item,piece / assorted,,,,Inactive
186,DGM,DGM Paint Brush 2 in Inactive,Inactive item,piece / assorted,,,,Inactive
187,DGM,DGM Paint Brush 2.5 in Inactive,Inactive item,piece / assorted,,,,Inactive
188,DGM,DGM Paint Brush 3/4 in Inactive,Inactive item,piece / assorted,,,,Inactive
189,Domino,Domino EP Black GAL,Paint / assorted,4 L / gal,4,,800,Active
190,Domino,Domino EP White GAL,Paint / assorted,4 L / gal,4,,800,Active
